skin_name,quality,wear
MP7 | Armor Core,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
AK-47 | Elite Build,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Desert Eagle | Bronze Deco,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Negev | Man-o'-war,blue,"(Minimal Wear), (Field-Tested)"
Sawed-Off | Origami,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
P250 | Valence,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
CZ75-Auto | Pole Position,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
UMP-45 | Grand Prix,purple,(Field-Tested)
MAG-7 | Heat,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
AWP | Worm God,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn)"
Galil AR | Eco,pink,"(Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
FAMAS | Djinn,pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Five-SeveN | Monkey Business,pink,"(Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
MAC-10 | Neon Rider,red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn)"
M4A1-S | Hyper Beast,red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ M9 Bayonet | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Karambit | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Bayonet | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Flip Knife | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Gut Knife | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ M9 Bayonet | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Karambit | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Bayonet | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Flip Knife | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Gut Knife | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ M9 Bayonet | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Karambit | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Bayonet | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Flip Knife | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Gut Knife | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ M9 Bayonet | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Karambit | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Bayonet | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Flip Knife | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Gut Knife | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ M9 Bayonet | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Karambit | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Bayonet | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Flip Knife | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Gut Knife | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
