skin_name,quality,wear
MP9 | Bioleak,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
SG 553 | Atlas,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
G3SG1 | Orange Crash,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
P2000 | Oceanic,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Dual Berettas | Ventilators,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn)"
M249 | Spectre,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Sawed-Off | Fubar,blue,"(Well-Worn), (Battle-Scarred)"
SSG 08 | Ghost Crusader,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Galil AR | Firefight,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
CZ75-Auto | Red Astor,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Tec-9 | Re-Entry,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn)"
XM1014 | Black Tie,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
AUG | Fleet Flock,pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
UMP-45 | Primal Saber,pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
P250 | Asiimov,pink,"(Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
PP-Bizon | Judgement of Anubis,red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
M4A1-S | Chantico's Fire,red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ M9 Bayonet | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Karambit | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Bayonet | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Flip Knife | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Gut Knife | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ M9 Bayonet | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Karambit | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Bayonet | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Flip Knife | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Gut Knife | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ M9 Bayonet | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Karambit | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Bayonet | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Flip Knife | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Gut Knife | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ M9 Bayonet | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Karambit | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Bayonet | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Flip Knife | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Gut Knife | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ M9 Bayonet | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Karambit | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Bayonet | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Flip Knife | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Gut Knife | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ M9 Bayonet | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Karambit | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Bayonet | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Flip Knife | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Gut Knife | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ MP9 | Bioleak,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ SG 553 | Atlas,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ G3SG1 | Orange Crash,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ P2000 | Oceanic,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Dual Berettas | Ventilators,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn)"
StatTrak™ M249 | Spectre,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Sawed-Off | Fubar,stat_blue,"(Well-Worn), (Battle-Scarred)"
StatTrak™ SSG 08 | Ghost Crusader,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Galil AR | Firefight,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ CZ75-Auto | Red Astor,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Tec-9 | Re-Entry,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn)"
