skin_name,quality,wear
MP9 | Deadly Poison,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Glock-18 | Catacombs,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
XM1014 | Quicksilver,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
M249 | System Lock,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
SCAR-20 | Grotto,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
MAC-10 | Malachite,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Dual Berettas | Urban Shock,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Desert Eagle | Naga,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Sawed-Off | Serenity,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
M4A4 | 龍王 (Dragon King),pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
AK-47 | Cartel,pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
P250 | Muertos,pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Galil AR | Chatterbox,red,"(Field-Tested), (Well-Worn), (Battle-Scarred)"
AWP | Man-o'-war,red,"(Minimal Wear), (Field-Tested)"
★ M9 Bayonet | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Karambit | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Bayonet | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Flip Knife | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Gut Knife | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ M9 Bayonet | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Karambit | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Bayonet | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Flip Knife | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Gut Knife | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ M9 Bayonet | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Karambit | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Bayonet | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Flip Knife | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Gut Knife | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ M9 Bayonet | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Karambit | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Bayonet | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Flip Knife | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Gut Knife | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ M9 Bayonet | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Karambit | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Bayonet | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Flip Knife | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Gut Knife | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ M9 Bayonet | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Karambit | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Bayonet | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Flip Knife | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
