skin_name,quality,wear
MAC-10 | Ultraviolet,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
SSG 08 | Dark Water,blue,"(Minimal Wear), (Field-Tested)"
CZ75-Auto | Hexane,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn)"
XM1014 | Red Python,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn)"
Negev | Bratatat,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
USP-S | Blood Tiger,blue,"(Factory New), (Minimal Wear), (Field-Tested)"
PP-Bizon | Blue Streak,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
MP7 | Ocean Foam,purple,"(Factory New), (Minimal Wear)"
Desert Eagle | Crimson Web,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Glock-18 | Steel Disruption,purple,"(Factory New), (Minimal Wear), (Field-Tested)"
P2000 | Corticera,pink,"(Factory New), (Minimal Wear), (Field-Tested)"
AUG | Bengal Tiger,pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Nova | Bloomstick,pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
AWP | Corticera,pink,"(Factory New), (Minimal Wear), (Field-Tested)"
M4A4 | Bullet Rain,red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
AK-47 | Jaguar,red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ M9 Bayonet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Karambit,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Bayonet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Flip Knife,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Gut Knife,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ M9 Bayonet | Crimson Web,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Karambit | Crimson Web,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Bayonet | Crimson Web,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Flip Knife | Crimson Web,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Gut Knife | Crimson Web,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ M9 Bayonet | Fade,yellow,"(Factory New), (Minimal Wear)"
★ Karambit | Fade,yellow,"(Factory New), (Minimal Wear)"
★ Bayonet | Fade,yellow,"(Factory New), (Minimal Wear)"
★ Flip Knife | Fade,yellow,"(Factory New), (Minimal Wear)"
★ Gut Knife | Fade,yellow,"(Factory New), (Minimal Wear)"
★ M9 Bayonet | Blue Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Karambit | Blue Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Bayonet | Blue Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Flip Knife | Blue Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Gut Knife | Blue Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ M9 Bayonet | Night,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Karambit | Night,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Bayonet | Night,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Flip Knife | Night,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Gut Knife | Night,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ M9 Bayonet | Slaughter,yellow,"(Factory New), (Minimal Wear), (Field-Tested)"
★ Karambit | Slaughter,yellow,"(Factory New), (Minimal Wear), (Field-Tested)"
★ Bayonet | Slaughter,yellow,"(Factory New), (Minimal Wear), (Field-Tested)"
★ Flip Knife | Slaughter,yellow,"(Factory New), (Minimal Wear), (Field-Tested)"
★ Gut Knife | Slaughter,yellow,"(Factory New), (Minimal Wear), (Field-Tested)"
★ M9 Bayonet | Case Hardened,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Karambit | Case Hardened,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Bayonet | Case Hardened,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Flip Knife | Case Hardened,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
