skin_name,quality,wear
AUG | Tom Cat,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
AWP | Capillary,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
CZ75-Auto | Distressed,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Desert Eagle | Blue Ply,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
MP5-SD | Desert Strike,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Negev | Prototype,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
R8 Revolver | Bone Forged,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
P2000 | Acid Etched,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Sawed-Off | Apocalypto,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
SCAR-20 | Enforcer,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
SG 553 | Darkwing,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
SSG 08 | Fever Dream,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
AK-47 | Phantom Disruptor,pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
MAC-10 | Disco Tech,pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
MAG-7 | Justice,pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
M4A1-S | Player Two,red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Glock-18 | Bullet Queen,red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Talon Knife | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Ursus Knife | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Stiletto Knife | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Navaja Knife | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Talon Knife | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Ursus Knife | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Stiletto Knife | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Navaja Knife | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
