skin_name,quality,wear
FAMAS | Crypsis,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
AK-47 | Uncharted,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
MAC-10 | Whitefish,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Galil AR | Akoben,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
MP7 | Mischief,blue,"(Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
P250 | Verdigris,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
P90 | Off World,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
AWP | Atheris,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Tec-9 | Bamboozle,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Desert Eagle | Light Rail,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
MP5-SD | Gauss,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
UMP-45 | Moonrise,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn)"
R8 Revolver | Skull Crusher,pink,"(Field-Tested), (Well-Worn), (Battle-Scarred)"
AUG | Momentum,pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
XM1014 | Incinegator,pink,"(Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Five-SeveN | Angry Mob,red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
M4A4 | The Emperor,red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Talon Knife | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Ursus Knife | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Stiletto Knife | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Navaja Knife | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Talon Knife | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Ursus Knife | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Stiletto Knife | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
