skin_name,quality,wear
SCAR-20 | Jungle Slipstream,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Tec-9 | Cracked Opal,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
MAC-10 | Oceanic,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Glock-18 | Off World,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
G3SG1 | Hunter,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
AUG | Triqua,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Sawed-Off | Morris,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
XM1014 | Ziggy,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
UMP-45 | Exposure,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
CZ75-Auto | Tacticat,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
SG 553 | Phantom,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
MP9 | Goo,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
R8 Revolver | Llama Cannon,pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
PP-Bizon | High Roller,pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
M4A1-S | Leaded Glass,pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
P250 | See Ya Later,red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
AK-47 | The Empress,red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Butterfly Knife | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Huntsman Knife | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Bowie Knife | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Falchion Knife | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Shadow Daggers | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Butterfly Knife | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Huntsman Knife | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Bowie Knife | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Falchion Knife | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Shadow Daggers | Ultraviolet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Butterfly Knife | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Huntsman Knife | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Bowie Knife | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Falchion Knife | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Shadow Daggers | Marble Fade,yellow,"(Factory New), (Minimal Wear)"
★ Butterfly Knife | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Huntsman Knife | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Bowie Knife | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Falchion Knife | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Shadow Daggers | Rust Coat,yellow,"(Well-Worn), (Battle-Scarred)"
★ Butterfly Knife | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Huntsman Knife | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Bowie Knife | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Falchion Knife | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Shadow Daggers | Damascus Steel,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Butterfly Knife | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Huntsman Knife | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Bowie Knife | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Falchion Knife | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
★ Shadow Daggers | Tiger Tooth,yellow,"(Factory New), (Minimal Wear)"
StatTrak™ SCAR-20 | Jungle Slipstream,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Tec-9 | Cracked Opal,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ MAC-10 | Oceanic,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Glock-18 | Off World,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ G3SG1 | Hunter,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ AUG | Triqua,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Sawed-Off | Morris,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ XM1014 | Ziggy,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ UMP-45 | Exposure,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ CZ75-Auto | Tacticat,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ SG 553 | Phantom,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ MP9 | Goo,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ R8 Revolver | Llama Cannon,stat_pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ PP-Bizon | High Roller,stat_pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ M4A1-S | Leaded Glass,stat_pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ P250 | See Ya Later,stat_red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ AK-47 | The Empress,stat_red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Butterfly Knife | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Huntsman Knife | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Bowie Knife | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Falchion Knife | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Shadow Daggers | Doppler,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Butterfly Knife | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Huntsman Knife | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Bowie Knife | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Falchion Knife | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Shadow Daggers | Ultraviolet,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Butterfly Knife | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Huntsman Knife | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Bowie Knife | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Falchion Knife | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Shadow Daggers | Marble Fade,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Butterfly Knife | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Huntsman Knife | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Bowie Knife | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Falchion Knife | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Shadow Daggers | Rust Coat,stat_yellow,"(Well-Worn), (Battle-Scarred)"
★ StatTrak™ Butterfly Knife | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Huntsman Knife | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Bowie Knife | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Falchion Knife | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Shadow Daggers | Damascus Steel,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ StatTrak™ Butterfly Knife | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Huntsman Knife | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Bowie Knife | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Falchion Knife | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
★ StatTrak™ Shadow Daggers | Tiger Tooth,stat_yellow,"(Factory New), (Minimal Wear)"
