skin_name,quality,wear
MP7 | Akoben,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Sawed-Off | Zander,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
SCAR-20 | Blueprint,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
PP-Bizon | Jungle Slipstream,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
P250 | Ripple,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Five-SeveN | Capillary,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Desert Eagle | Oxide Blaze,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
MAC-10 | Last Dive,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
UMP-45 | Scaffold,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
XM1014 | Seasons,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Galil AR | Crimson Tsunami,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
M249 | Emerald Poison Dart,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn)"
AWP | Fever Dream,pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
CZ75-Auto | Xiangliu,pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
M4A1-S | Decimator,pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
AK-47 | Bloodsport,red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn)"
USP-S | Neo-Noir,red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Butterfly Knife | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Huntsman Knife | Doppler,yellow,"(Factory New), (Minimal Wear)"
★ Bowie Knife | Doppler,yellow,"(Factory New), (Minimal Wear)"
