skin_name,quality,wear
Dual Berettas | Elite 1.6,blue,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
Tec-9 | Flash Out,blue,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
MAC-10 | Classic Crate,blue,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
MAG-7 | Popdog,blue,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
SCAR-20 | Assault,blue,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
FAMAS | Decommissioned,blue,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
Glock-18 | Sacrifice,blue,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
M249 | Aztec,purple,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
MP5-SD | Agent,purple,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
Five-SeveN | Buddy,purple,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
P250 | Inferno,purple,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
UMP-45 | Plastique,purple,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
MP9 | Hydra,pink,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
P90 | Nostalgia,pink,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
AUG | Death by Puppy,pink,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn)"
FAMAS | Commemoration,red,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
AWP | Wildfire,red,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
Knife,yellow,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
StatTrak™ Dual Berettas | Elite 1.6,stat_blue,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
StatTrak™ Tec-9 | Flash Out,stat_blue,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
StatTrak™ MAC-10 | Classic Crate,stat_blue,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
StatTrak™ MAG-7 | Popdog,stat_blue,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
StatTrak™ SCAR-20 | Assault,stat_blue,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
StatTrak™ FAMAS | Decommissioned,stat_blue,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
StatTrak™ Glock-18 | Sacrifice,stat_blue,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
StatTrak™ M249 | Aztec,stat_purple,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
StatTrak™ MP5-SD | Agent,stat_purple,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
StatTrak™ Five-SeveN | Buddy,stat_purple,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
StatTrak™ P250 | Inferno,stat_purple,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
StatTrak™ UMP-45 | Plastique,stat_purple,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
StatTrak™ MP9 | Hydra,stat_pink,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
StatTrak™ P90 | Nostalgia,stat_pink,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
StatTrak™ AUG | Death by Puppy,stat_pink,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn)"
StatTrak™ FAMAS | Commemoration,stat_red,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
StatTrak™ AWP | Wildfire,stat_red,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
StatTrak™ Knife,stat_yellow,"(Factory New),(Minimal Wear),(Field-Tested),(Well-Worn),(Battle-Scarred)"
