skin_name,quality,wear
MP7 | Skulls,blue,"(Factory New), (Minimal Wear), (Field-Tested)"
SG 553 | Ultraviolet,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
AUG | Wings,blue,"(Factory New), (Minimal Wear)"
M4A1-S | Dark Water,purple,"(Factory New), (Minimal Wear), (Field-Tested)"
USP-S | Dark Water,purple,"(Factory New), (Minimal Wear), (Field-Tested)"
Glock-18 | Dragon Tattoo,purple,"(Factory New), (Minimal Wear)"
AK-47 | Case Hardened,pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Desert Eagle | Hypnotic,pink,"(Factory New), (Minimal Wear)"
AWP | Lightning Strike,red,"(Factory New), (Minimal Wear)"
Knife,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ MP7 | Skulls,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested)"
StatTrak™ SG 553 | Ultraviolet,stat_blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ AUG | Wings,stat_blue,"(Factory New), (Minimal Wear)"
StatTrak™ M4A1-S | Dark Water,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested)"
StatTrak™ USP-S | Dark Water,stat_purple,"(Factory New), (Minimal Wear), (Field-Tested)"
StatTrak™ Glock-18 | Dragon Tattoo,stat_purple,"(Factory New), (Minimal Wear)"
StatTrak™ AK-47 | Case Hardened,stat_pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
StatTrak™ Desert Eagle | Hypnotic,stat_pink,"(Factory New), (Minimal Wear)"
StatTrak™ AWP | Lightning Strike,stat_red,"(Factory New), (Minimal Wear)"
StatTrak™ Knife,stat_yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
