skin_name,request_count,response_code,http_status_code
0,0,0,0
SG 553 | Wave Spray (Minimal Wear),14,429,Too many requests
Dual Berettas | Black Limba (Battle-Scarred),13,429,Too many requests
Nova | Tempest (Field-Tested),12,429,Too many requests
Nova | Tempest (Minimal Wear),11,429,Too many requests
G3SG1 | Demeter (Battle-Scarred),10,429,Too many requests
G3SG1 | Demeter (Well-Worn),9,429,Too many requests
G3SG1 | Demeter (Field-Tested),8,429,Too many requests
G3SG1 | Demeter (Factory New),7,429,Too many requests
M4A1-S | Bright Water (Field-Tested),6,429,Too many requests
M4A1-S | Bright Water (Minimal Wear),5,429,Too many requests
USP-S | Overgrowth (Battle-Scarred),4,429,Too many requests
M4A4 | Zirka (Factory New),3,429,Too many requests
MAC-10 | Graven (Battle-Scarred),2,429,Too many requests
StatTrak™ MAC-10 | Graven (Factory New),1,429,Too many requests
SG 553 | Wave Spray (Battle-Scarred),3,429,Too many requests
M4A4 | Zirka (Minimal Wear),2,429,Too many requests
USP-S | Overgrowth (Field-Tested),1,429,Too many requests
