skin_name,quality,wear
Nova | Tempest,blue,"(Factory New), (Minimal Wear), (Field-Tested)"
Dual Berettas | Black Limba,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
UMP-45 | Bone Pile,blue,"(Factory New), (Minimal Wear), (Field-Tested)"
SG 553 | Wave Spray,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
Galil AR | Shattered,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
G3SG1 | Demeter,blue,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
M4A1-S | Bright Water,purple,"(Minimal Wear), (Field-Tested)"
M4A4 | Zirka,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn)"
MAC-10 | Graven,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
USP-S | Overgrowth,purple,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
P90 | Emerald Dragon,pink,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
P2000 | Ocean Foam,pink,"(Factory New), (Minimal Wear)"
AWP | Graphite,pink,"(Factory New), (Minimal Wear)"
Desert Eagle | Golden Koi,red,"(Factory New), (Minimal Wear)"
AK-47 | Fire Serpent,red,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ M9 Bayonet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Karambit,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Bayonet,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Flip Knife,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Gut Knife,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ M9 Bayonet | Crimson Web,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Karambit | Crimson Web,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Bayonet | Crimson Web,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
★ Flip Knife | Crimson Web,yellow,"(Factory New), (Minimal Wear), (Field-Tested), (Well-Worn), (Battle-Scarred)"
